slug,title,category,subsection,summary,image,price,format,status,published,stock,variant_sku
postcards,Postcard Series (6-card set),plotter,finished,"A small edition set pulled from derivations and detours in image-making.",/work/plotter/products/postcards/IMG_5206.jpg,TBC,Physical,Prototype,true,,
limited-prints,Limited edition prints,photography,published,"Signed physical prints from key works — Brighton by Bench, archive selects, and atmospheric editions.",/work/photography/shop-limited-prints.jpg,TBC,Physical,Coming soon,true,,
digital-editions,Digital editions,photography,published,"Shop shelf for on-chain editions — portfolio on /work/photography; wallet and checkout later.",/work/photography/crypto/banner.jpg,TBC,Digital,Coming soon,true,,
